,ChEMBL_ID,REFERENCE,PUBMED_ID
131,CHEMBL275473,"J. Med. Chem., 48, p. 1610 (2005)",15743202
132,CHEMBL234838,"Bioorg. Med. Chem. Lett., 17, p. 1296 (2007)",17194588
133,CHEMBL1909389,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
134,CHEMBL529066,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
135,CHEMBL1794060,"J. Med. Chem., 48, p. 1610 (2005)",15743202
136,CHEMBL1909381,"Bioorg. Med. Chem. Lett., 17, p. 4363 (2007)",17600705
137,CHEMBL215814,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
138,CHEMBL1909390,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
139,CHEMBL1909391,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
140,CHEMBL1794062,"J. Med. Chem., 48, p. 1610 (2005)",15743202
141,CHEMBL66004,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
142,CHEMBL1909392,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
143,CHEMBL179311,"J. Med. Chem., 48, p. 1610 (2005)",15743202
144,CHEMBL1909404,"Org Lett, 7, p. 4753 (2005)",16209527
145,CHEMBL1909393,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
146,CHEMBL1794055,"J. Med. Chem., 44, p. 4339 (2001)",11728181
147,CHEMBL1909364,"J. Med. Chem., 50, p. 4453 (2007)",17676829
148,CHEMBL1909365,"J. Med. Chem., 50, p. 4453 (2007)",17676829
149,CHEMBL270164,"Bioorg. Med. Chem. Lett., 18, p. 318 (2008)",18006306
150,CHEMBL479079,"J. Med. Chem., 51, p. 4632 (2008)",18620382
151,CHEMBL212250,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
152,CHEMBL384407,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
153,CHEMBL1909405,"Org Lett, 7, p. 4753 (2005)",16209527
154,CHEMBL233001,"Bioorg. Med. Chem. Lett., 17, p. 1296 (2007)",17194588
155,CHEMBL191705,"J. Med. Chem., 48, p. 1610 (2005)",15743202
156,CHEMBL1909394,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
157,CHEMBL179465,"J. Med. Chem., 48, p. 1610 (2005)",15743202
158,CHEMBL179453,"J. Med. Chem., 48, p. 1610 (2005)",15743202
159,CHEMBL443563,"J. Med. Chem., 48, p. 1610 (2005)",15743202
160,CHEMBL1794061,"J. Med. Chem., 48, p. 1610 (2005)",15743202
161,CHEMBL176553,"J. Med. Chem., 48, p. 1610 (2005)",15743202
162,CHEMBL192417,"J. Med. Chem., 48, p. 1610 (2005)",15743202
163,CHEMBL261849,"Proc. Natl. Acad. Sci. U.S.A., 102, p. 16078 (2005)",16249345
164,CHEMBL1909395,"Bioorg. Med. Chem. Lett., 16, p. 4686 (2006)",16777410
165,CHEMBL1909341,"J. Med. Chem., 48, p. 1610 (2005)",15743202
166,CHEMBL196022,"Bioorg. Med. Chem. Lett., 15, p. 2203 (2005)",15837294
167,CHEMBL373073,"Bioorg. Med. Chem. Lett., 15, p. 2203 (2005)",15837294
168,CHEMBL1789962,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
169,CHEMBL63728,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
170,CHEMBL379093,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
171,CHEMBL1909358,"J. Med. Chem., 51, p. 4632 (2008)",18620382
172,CHEMBL1909366,"J. Med. Chem., 50, p. 4453 (2007)",17676829
173,CHEMBL205966,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
174,CHEMBL243907,"J. Med. Chem., 50, p. 4453 (2007)",17676829
175,CHEMBL372474,"J. Med. Chem., 48, p. 1610 (2005)",15743202
176,CHEMBL202891,"J. Med. Chem., 49, p. 2210 (2006)",16570917
177,CHEMBL517907,"Bioorg. Med. Chem. Lett., 14, p. 111 (2004)",14684309
178,CHEMBL1909367,"J. Med. Chem., 50, p. 4453 (2007)",17676829
179,CHEMBL381948,"J. Med. Chem., 49, p. 2210 (2006)",16570917
180,CHEMBL206544,"J. Med. Chem., 49, p. 2210 (2006)",16570917
181,CHEMBL446024,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
182,CHEMBL524901,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
183,CHEMBL1909368,"J. Med. Chem., 50, p. 4453 (2007)",17676829
184,CHEMBL524057,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
185,CHEMBL506414,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
186,CHEMBL181361,"J. Med. Chem., 47, p. 4494 (2004)",15317461
187,CHEMBL1909415,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
188,CHEMBL1909369,"J. Med. Chem., 50, p. 4453 (2007)",17676829
189,CHEMBL1909370,"J. Med. Chem., 50, p. 4453 (2007)",17676829
190,CHEMBL1909371,"J. Med. Chem., 50, p. 4453 (2007)",17676829
191,CHEMBL205158,"J. Med. Chem., 49, p. 2210 (2006)",16570917
192,CHEMBL1909372,"J. Med. Chem., 50, p. 4453 (2007)",17676829
193,CHEMBL269985,"Bioorg. Med. Chem. Lett., 18, p. 324 (2008)",17981461
194,CHEMBL1909373,"J. Med. Chem., 50, p. 4453 (2007)",17676829
195,CHEMBL205798,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
196,CHEMBL495771,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
